Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №2108	789	700	0	293	18	389	18	293	27	284	0	0	95	146	21	22
УИК №2109	1391	1400	0	510	31	859	31	510	23	518	0	0	164	287	26	41
УИК №2110	1511	1500	0	610	53	837	53	610	34	629	0	0	169	377	30	53
УИК №2111	246	250	0	91	3	156	3	91	6	88	0	0	31	42	6	9
УИК №2112	326	300	0	142	7	151	7	142	9	140	0	0	39	78	10	13
УИК №2113	502	500	0	193	13	294	13	193	8	198	0	0	43	134	12	9
УИК №2114	125	120	0	58	1	61	1	58	0	59	0	0	6	50	1	2
УИК №2115	99	100	0	32	2	66	2	32	0	34	0	0	4	29	1	0
УИК №2116	811	750	0	348	16	386	16	348	34	330	0	0	90	189	21	30
УИК №2117	61	45	0	41	1	3	1	41	0	42	0	0	11	28	1	2
УИК №2201	807	815	0	282	1	532	1	282	17	266	0	0	113	120	17	16
УИК №2202	1056	1075	0	462	10	603	10	462	24	448	0	0	162	234	34	18
УИК №2203	1125	1125	0	369	26	730	26	369	25	370	0	0	162	175	13	20
УИК №2204	564	565	0	178	19	368	19	178	18	179	0	0	59	101	9	10
УИК №2205	154	175	0	66	22	87	22	66	7	81	0	0	15	50	6	10
УИК №2206	893	895	0	288	6	601	6	288	20	274	0	0	96	153	12	13
УИК №2207	1015	1040	0	240	18	782	18	240	17	241	0	0	85	119	20	17
УИК №2208	980	980	0	269	14	697	14	269	19	264	0	0	137	99	7	21
УИК №2209	289	575	0	283	6	286	6	283	17	272	0	0	87	158	13	14
УИК №2210	1695	1710	0	576	13	1121	13	576	44	545	0	0	217	263	29	36
УИК №2211	1699	1710	0	610	32	1068	32	610	11	631	0	0	229	350	33	19
УИК №2212	1487	1505	0	462	29	1014	29	462	22	469	0	0	200	219	31	19
УИК №2213	1763	1780	0	454	17	1309	17	454	30	441	0	0	178	203	32	28
УИК №2214	942	945	0	249	21	675	21	249	12	258	0	0	91	137	13	17
УИК №2215	807	810	0	303	7	500	7	303	23	287	0	0	119	135	20	13
УИК №2216	756	765	0	229	11	525	11	229	10	230	0	0	97	111	17	5
УИК №2217	1604	1625	0	552	12	1061	12	552	30	534	0	0	196	284	28	26
УИК №2218	1621	1640	0	553	27	1060	27	553	16	564	0	0	189	319	32	24
УИК №2219	537	525	0	222	2	301	2	222	9	215	0	0	89	94	14	18
УИК №2220	1077	1080	0	208	8	864	8	208	4	212	0	0	55	133	18	6
УИК №2221	1711	1710	0	522	10	1178	10	522	5	527	0	0	221	225	48	33
УИК №2222	1197	1205	0	271	26	908	26	271	11	286	0	0	116	150	10	10
УИК №2223	667	660	0	187	0	473	0	187	7	180	0	0	84	68	17	11
УИК №2224	536	530	0	138	7	385	7	138	9	136	0	0	62	55	14	5
УИК №2225	1315	1335	0	420	6	909	6	420	25	401	0	0	175	162	37	27
УИК №2226	931	935	0	242	13	680	13	242	15	240	0	0	111	97	14	18
УИК №2227	313	315	0	51	2	262	2	51	2	51	0	0	29	20	1	1
УИК №2228	1444	1480	0	402	37	1041	37	402	27	412	0	0	156	210	26	20
УИК №2229	1159	1170	0	306	19	845	19	306	9	316	0	0	131	151	22	12
УИК №2230	698	710	0	174	54	482	54	174	11	217	0	0	69	130	7	11
УИК №2231	1055	1065	0	361	34	670	34	361	15	380	0	0	132	215	6	27
УИК №2232	843	845	0	196	18	631	18	196	11	203	0	0	79	110	6	8
УИК №2233	1077	1060	0	303	39	718	39	303	20	322	0	0	138	166	9	9
УИК №2234	765	775	0	223	45	507	45	223	12	256	0	0	93	155	5	3
УИК №2235	995	1000	0	339	63	598	63	339	9	393	0	0	105	249	22	17
УИК №2236	812	815	0	177	50	588	50	177	8	219	0	0	52	144	14	9
УИК №2237	189	190	0	74	3	113	3	74	4	73	0	0	33	36	3	1
УИК №2238	77	70	0	31	10	29	10	31	3	38	0	0	7	28	2	1
УИК №2239	215	200	12	111	0	77	12	111	3	120	0	0	12	99	6	3
УИК №2240	114	107	0	35	0	72	0	35	1	34	0	0	8	21	1	4
УИК №2241	234	206	0	99	19	88	19	99	5	113	0	0	30	76	3	4
УИК №2242	92	83	5	38	10	30	15	38	0	53	0	0	9	41	0	3
УИК №2280	76	80	0	13	59	8	59	13	3	69	0	0	19	45	3	2
УИК №2301	481	340	79	127	6	128	85	127	13	199	0	0	30	153	10	6
УИК №2302	926	670	0	383	46	241	46	383	20	409	0	0	162	197	22	28
УИК №2303	1282	910	0	528	59	323	59	528	46	541	0	0	193	275	38	35
УИК №2304	591	430	0	229	38	163	38	229	21	246	0	0	71	158	12	5
УИК №2305	772	550	0	345	27	178	27	345	15	357	0	0	108	221	17	11
УИК №2306	504	350	0	192	13	145	13	192	9	196	0	0	67	109	9	11
УИК №2307	720	520	0	416	9	95	9	416	32	393	0	0	138	181	45	29
УИК №2308	675	490	0	467	3	20	3	467	42	428	0	0	131	217	39	41
УИК №2309	496	340	0	182	5	153	5	182	11	176	0	0	50	99	12	15
УИК №2310	1257	870	0	575	30	265	30	575	31	574	0	0	215	306	28	25
УИК №2311	446	300	0	203	28	69	28	203	15	216	0	0	55	150	7	4
УИК №2312	577	410	0	209	18	183	18	209	22	205	0	0	60	114	15	16
УИК №2313	502	370	0	253	6	111	6	252	20	238	0	0	87	125	13	13
УИК №2314	1543	950	0	830	25	95	25	830	44	811	0	0	254	451	66	40
УИК №2315	1670	1160	0	855	18	287	18	851	54	815	0	0	256	472	53	34
УИК №2316	1723	1200	0	797	66	337	66	797	53	810	0	0	272	438	45	55
УИК №2317	1641	1160	0	736	13	411	13	736	43	706	0	0	211	411	43	41
УИК №2318	1409	990	0	580	19	391	19	580	49	550	0	0	202	280	28	40
УИК №2319	1315	950	0	492	27	431	27	492	38	481	0	0	158	258	26	39
УИК №2320	602	410	0	253	4	153	4	253	15	242	0	0	94	111	21	16
УИК №2321	664	460	0	218	26	216	26	218	19	225	0	0	74	127	17	7
УИК №2322	489	350	0	216	7	127	7	216	20	203	0	0	93	83	11	16
УИК №2323	698	500	21	253	12	214	33	253	12	274	0	0	118	127	15	14
УИК №2324	628	420	0	301	6	113	6	301	22	285	0	0	118	121	30	16
УИК №2401	742	750	0	217	2	531	2	217	31	188	0	0	82	86	8	12
УИК №2402	756	750	0	247	5	498	5	247	13	239	0	0	103	101	17	18
УИК №2403	795	750	0	292	2	456	2	291	18	275	0	0	122	105	19	29
УИК №2404	694	650	0	223	6	421	6	223	14	215	0	0	70	111	16	18
УИК №2405	700	700	0	269	8	423	8	269	9	268	0	0	92	137	24	15
УИК №2406	510	500	0	212	6	282	6	212	17	201	0	0	55	124	13	9
УИК №2407	336	300	0	156	7	137	7	156	2	161	0	0	53	85	11	12
УИК №2408	475	400	0	180	3	217	3	180	8	175	0	0	73	83	8	11
УИК №2409	426	400	0	153	2	245	2	153	10	145	0	0	57	72	7	9
УИК №2410	702	700	0	161	7	532	7	161	3	165	0	0	66	78	11	10
УИК №2411	834	800	0	215	9	576	9	215	15	209	0	0	70	110	17	12
УИК №2412	421	400	0	125	5	270	5	125	7	123	0	0	44	70	6	3
УИК №2413	331	300	0	103	4	193	4	103	6	101	0	0	25	72	3	1
УИК №2414	684	650	0	218	10	422	10	218	14	214	0	0	73	124	8	9
УИК №2415	53	50	0	20	0	30	0	20	0	20	0	0	0	19	0	1
УИК №2416	60	50	0	27	0	23	0	27	7	20	0	0	7	13	0	0
УИК №2417	166	150	0	51	7	92	7	51	3	55	0	0	18	32	3	2
УИК №2418	158	150	0	44	0	106	0	44	0	44	0	0	7	32	4	1
УИК №2419	204	150	0	97	8	45	8	97	4	101	0	0	14	81	4	2
УИК №2420	189	200	0	71	15	114	15	71	2	84	0	0	21	53	4	6
УИК №2421	795	800	0	380	35	385	35	380	18	397	0	0	72	302	10	13
УИК №2422	522	500	0	180	20	300	20	180	8	192	0	0	36	141	8	7
УИК №2423	97	90	0	51	0	39	0	51	4	47	0	0	3	44	0	0
УИК №2424	123	100	0	28	4	68	4	28	0	32	0	0	6	22	3	1
УИК №2425	53	50	0	20	0	30	0	20	1	19	0	0	1	17	1	0
УИК №2426	667	550	0	228	98	224	98	228	24	302	0	0	96	175	23	8
УИК №2427	1022	1000	0	393	10	597	10	393	24	379	0	0	105	228	22	24
УИК №2428	128	100	0	56	3	41	3	56	1	58	0	0	19	37	1	1
УИК №2429	534	550	0	98	2	450	2	98	9	91	0	0	35	40	12	4
УИК №2430	727	700	0	177	0	523	0	177	19	158	0	0	51	80	13	14
УИК №2431	221	200	0	54	0	146	0	54	1	53	0	0	19	28	3	3
УИК №2432	210	200	0	85	0	115	0	85	2	83	0	0	26	45	5	7
УИК №2433	281	200	0	98	0	102	0	98	4	94	0	0	27	51	10	6
УИК №2434	94	100	0	27	4	69	4	27	0	31	0	0	13	12	3	3
УИК №2435	84	80	0	24	1	55	1	24	0	25	0	0	7	17	0	1
УИК №2480	1332	1350	0	1296	0	54	0	1296	41	1255	0	0	234	844	53	124
УИК №2501	153	155	0	62	6	87	6	62	4	64	0	0	33	25	2	4
УИК №2502	1064	1085	0	407	53	625	53	407	17	443	0	0	152	240	25	26
УИК №2503	496	495	0	105	10	380	10	105	4	111	0	0	34	57	13	7
УИК №2504	644	660	0	179	28	453	28	179	17	190	0	0	40	133	11	6
УИК №2505	736	750	0	200	15	535	15	200	11	204	0	0	48	139	7	10
УИК №2506	597	605	0	218	19	368	19	218	13	224	0	0	45	154	13	12
УИК №2507	586	600	0	214	12	374	12	214	21	205	0	0	43	147	7	8
УИК №2508	1007	1020	0	313	3	704	3	312	26	289	0	0	114	139	15	21
УИК №2509	517	525	0	232	0	293	0	232	9	223	0	0	78	121	13	11
УИК №2510	1124	1140	0	487	1	652	1	487	37	451	0	0	179	219	28	25
УИК №2511	464	465	0	191	2	272	2	191	7	186	0	0	60	112	6	8
УИК №2512	1010	1030	0	414	2	614	2	414	14	402	0	0	123	235	24	20
УИК №2513	1034	1060	0	435	11	614	11	435	24	422	0	0	144	233	21	24
УИК №2514	1053	1070	0	435	5	630	5	435	27	413	0	0	142	229	22	20
УИК №2515	1095	1115	0	398	11	706	11	398	19	390	0	0	120	231	21	18
УИК №2516	888	915	0	202	5	708	5	202	22	185	0	0	63	94	19	9
УИК №2517	311	310	0	70	0	240	0	70	4	66	0	0	22	41	1	2
УИК №2518	1059	1095	0	453	12	630	12	453	23	442	0	0	123	265	30	24
УИК №2519	653	660	0	260	6	394	6	260	11	255	0	0	77	149	14	15
УИК №2520	1020	1040	0	487	6	547	6	487	29	464	0	0	161	260	27	16
УИК №2521	732	750	0	261	2	487	2	261	14	249	0	0	96	124	14	15
УИК №2522	1010	1025	0	440	3	582	3	440	25	418	0	0	154	220	23	21
УИК №2523	970	975	0	420	4	551	4	420	10	414	0	0	132	232	24	26
УИК №2524	1062	1080	0	488	4	588	4	487	23	468	0	0	156	266	25	21
УИК №2525	595	590	0	243	18	329	18	243	10	251	0	0	76	149	12	14
УИК №2526	1044	1075	0	318	17	740	17	318	20	315	0	0	155	132	16	12
УИК №2527	128	125	0	51	0	74	0	51	3	48	0	0	10	38	0	0
УИК №2528	197	210	0	74	2	134	2	74	2	74	0	0	6	65	3	0
УИК №2529	481	495	0	169	13	313	13	169	4	178	0	0	20	140	5	13
УИК №2530	1144	1160	0	458	9	693	9	458	30	437	0	0	159	221	29	28
УИК №2531	314	320	0	138	4	178	4	138	9	133	0	0	45	75	8	5
УИК №2601	1432	1314	0	1285	13	16	13	1285	5	1293	0	0	80	1152	8	53
УИК №2602	1477	1372	0	937	19	416	19	931	33	917	0	0	93	772	33	19
УИК №2603	289	218	0	200	12	6	12	200	9	203	0	0	20	171	5	7
УИК №2604	1447	1328	0	852	55	421	55	852	20	887	0	0	70	753	20	44
УИК №2605	936	863	0	661	21	181	21	658	3	676	0	0	69	561	13	33
УИК №2606	491	445	0	358	10	77	10	358	9	359	0	0	31	316	6	6
УИК №2607	1613	1513	0	1141	19	353	19	1141	28	1132	0	0	90	968	36	38
УИК №2608	597	551	0	433	5	113	5	433	8	430	0	0	55	354	9	12
УИК №2609	1490	1359	0	1148	25	186	25	1148	12	1161	0	0	105	991	34	31
УИК №2610	1592	1437	0	1038	51	348	51	1038	29	1060	0	0	120	881	37	22
УИК №2611	889	824	0	470	67	287	67	470	19	518	0	0	42	431	20	25
УИК №2612	1674	1570	0	975	36	559	36	975	17	994	0	0	121	798	34	41
УИК №2613	578	519	0	238	102	179	102	238	5	335	0	0	37	277	13	8
УИК №2614	605	563	0	334	46	183	46	334	9	371	0	0	52	310	3	6
УИК №2615	1120	1024	0	725	13	286	13	725	18	720	0	0	65	605	21	29
УИК №2616	279	248	0	160	8	80	8	160	4	164	0	0	19	136	8	1
УИК №2617	815	739	0	483	6	250	6	483	17	472	0	0	48	393	13	18
УИК №2618	279	241	0	211	11	19	11	211	6	216	0	0	27	178	5	6
УИК №2619	258	220	0	169	22	29	22	169	5	186	0	0	24	156	1	5
УИК №2620	1600	1431	0	1036	96	299	96	1036	29	1103	0	0	114	950	18	21
УИК №2621	1506	1388	0	1004	8	376	8	1004	23	989	0	0	66	830	41	52
УИК №2622	1536	1413	0	985	36	392	36	985	22	999	0	0	183	776	16	24
УИК №2623	1671	1552	0	1117	32	403	32	1117	15	1134	0	0	89	997	17	31
УИК №2624	1445	1329	0	1117	16	196	16	1117	31	1102	0	0	153	887	30	32
УИК №2625	260	220	0	195	8	17	8	195	4	199	0	0	51	137	6	5
УИК №2626	1746	1620	0	1035	16	569	16	1035	9	1042	0	0	112	862	30	38
УИК №2627	1679	1457	0	891	191	375	191	891	37	1045	0	0	106	868	33	38
УИК №2628	556	502	0	379	82	41	82	379	14	447	0	0	29	401	7	10
УИК №2629	1249	1116	0	941	33	142	33	941	10	964	0	0	98	801	40	25
УИК №2630	936	855	0	595	36	224	36	595	14	617	0	0	41	528	23	25
УИК №2631	930	835	0	657	18	160	18	657	20	655	0	0	70	550	15	20
УИК №2701	2086	2060	0	875	28	1157	28	875	69	834	0	0	139	614	53	28
УИК №2702	2079	2100	0	796	31	1273	31	796	38	789	0	0	170	538	59	22
УИК №2703	1953	1950	0	905	34	1011	34	905	48	891	0	0	195	615	42	39
УИК №2704	818	830	0	417	6	407	6	417	25	398	0	0	87	287	12	12
УИК №2705	508	490	0	192	19	279	19	192	16	195	0	0	41	131	12	11
УИК №2706	620	600	0	227	10	363	10	227	12	225	0	0	42	157	11	15
УИК №2707	175	160	0	107	10	43	10	107	4	113	0	0	11	100	2	0
УИК №2708	178	170	0	85	5	80	5	85	1	89	0	0	10	75	2	2
УИК №2709	460	420	0	188	8	224	8	188	7	189	0	0	36	139	5	9
УИК №2710	216	200	0	107	12	81	12	107	3	116	0	0	16	86	4	10
УИК №2711	127	120	0	74	2	44	2	74	6	70	0	0	5	61	2	2
УИК №2712	148	140	0	50	0	90	0	50	2	48	0	0	4	35	0	9
УИК №2801	2403	2200	0	2047	4	149	4	2047	52	1999	0	0	187	1698	66	48
УИК №2802	2454	2000	0	1677	14	309	14	1677	57	1634	0	0	273	1274	34	53
УИК №2803	2101	2000	0	1256	16	728	16	1256	28	1244	0	0	201	952	52	39
УИК №2804	1882	1700	0	1051	4	645	4	1051	33	1022	0	0	138	774	57	53
УИК №2805	588	500	0	489	9	2	9	489	6	492	0	0	38	442	5	7
УИК №2806	830	700	0	198	4	498	4	198	17	185	0	0	88	64	21	12
УИК №2807	1796	1700	0	949	3	748	3	949	8	944	0	0	125	694	83	42
УИК №2808	1518	1400	0	537	13	850	13	537	37	513	0	0	204	232	46	31
УИК №2809	2453	2300	0	1945	10	345	10	1945	4	1951	0	0	261	1662	15	13
УИК №2810	1630	1500	0	1391	5	104	5	1391	29	1367	0	0	132	1057	96	82
УИК №2811	1437	1200	0	764	8	428	8	764	11	761	0	0	111	564	23	63
УИК №2812	1964	1800	0	1685	4	111	4	1685	0	1689	0	0	180	1477	20	12
УИК №2813	2619	2300	0	2020	8	272	8	2020	51	1977	0	0	150	1724	60	43
УИК №2814	884	700	0	370	4	326	4	370	17	357	0	0	156	163	16	22
УИК №2815	2275	2000	0	1184	125	691	125	1184	36	1273	0	0	217	968	53	35
УИК №2816	1705	1500	0	1286	163	51	163	1286	16	1433	0	0	149	1216	47	21
УИК №2817	2302	2000	0	1311	17	672	17	1311	26	1302	0	0	166	1019	65	52
УИК №2818	2602	2400	0	2256	7	137	7	2249	12	2244	0	0	256	1951	29	8
УИК №2819	2566	2400	0	2176	9	215	9	2176	18	2167	0	0	199	1861	81	26
УИК №2820	1270	1100	0	605	28	467	28	605	20	613	0	0	185	348	40	40
УИК №2821	1350	1200	0	577	5	618	5	576	29	552	0	0	235	242	47	28
УИК №2822	1659	1500	0	909	3	588	3	909	31	881	0	0	147	679	35	20
УИК №2823	1825	1500	0	1120	7	373	7	1113	13	1107	0	0	180	855	60	12
УИК №2824	391	500	0	130	0	370	0	130	12	118	0	0	48	50	9	11
УИК №2825	260	200	0	62	5	133	5	62	4	63	0	0	18	34	6	5
УИК №2826	1500	1500	0	937	3	560	3	937	7	933	0	0	144	762	21	6
УИК №2827	1233	1100	0	661	8	431	8	661	6	663	0	0	57	572	13	21
УИК №2828	1976	1800	0	1088	16	696	16	1088	16	1088	0	0	188	833	34	33
УИК №2829	1769	1800	0	1023	18	759	18	1023	38	1003	0	0	175	791	17	20
УИК №2830	2009	2000	0	1735	12	253	12	1735	17	1730	0	0	177	1520	21	12
УИК №2831	1195	1000	0	455	24	521	24	455	33	446	0	0	182	206	37	21
УИК №2832	2174	2000	0	1189	6	805	6	1189	7	1188	0	0	210	897	14	67
УИК №2833	1625	1500	0	887	7	606	7	887	7	887	0	0	167	691	15	14
УИК №2834	1244	1100	0	586	15	499	15	586	1	600	0	0	134	419	26	21
УИК №2835	3038	2800	0	1392	10	1398	10	1392	60	1342	0	0	459	723	114	46
УИК №2836	3045	2800	0	1148	18	1634	18	1148	76	1090	0	0	502	428	102	58
УИК №2837	302	300	0	71	2	227	2	71	6	67	0	0	27	34	3	3
УИК №2838	2662	2500	0	2177	5	318	5	2172	45	2132	0	0	229	1785	67	51
УИК №2839	2207	2000	0	1018	5	977	5	1018	37	986	0	0	292	602	60	32
УИК №2840	1711	1600	0	1405	15	180	15	1405	34	1386	0	0	46	1283	27	30
УИК №2841	2186	2000	0	1201	9	790	9	1201	9	1201	0	0	115	907	142	37
УИК №2842	1903	1700	0	1284	3	413	3	1283	143	1143	0	0	92	973	40	38
УИК №2843	658	650	0	244	4	402	4	244	16	232	0	0	110	91	21	10
УИК №2844	1159	1000	0	937	2	61	2	937	7	932	0	0	38	877	8	9
УИК №2845	1519	1500	0	1285	7	208	7	1285	23	1269	0	0	132	1084	28	25
УИК №2846	1644	1600	0	1069	18	513	18	1069	25	1062	0	0	146	870	26	20
УИК №2847	2329	2300	0	1480	18	802	18	1480	22	1476	0	0	242	1171	33	30
УИК №2848	911	800	0	711	63	26	63	711	11	763	0	0	52	658	24	29
УИК №2849	1725	1700	0	1005	9	686	9	1005	22	992	0	0	113	846	17	16
УИК №2850	1407	1200	0	807	19	374	19	807	21	805	0	0	167	588	30	20
УИК №2851	777	700	0	281	20	399	20	281	21	280	0	0	126	112	29	13
УИК №2852	2018	1800	0	1023	73	704	73	1023	34	1062	0	0	190	832	26	14
УИК №2853	1726	1700	0	623	4	1073	4	623	31	596	0	0	301	219	46	30
УИК №2854	2239	2000	0	1883	15	102	15	1883	34	1864	0	0	121	1686	34	23
УИК №2855	1366	1300	0	791	44	465	44	791	21	814	0	0	104	652	38	20
УИК №2856	1611	1500	0	719	6	775	6	719	15	710	0	0	65	596	20	29
УИК №2857	1235	1100	0	1053	3	44	3	1053	0	1056	0	0	105	899	14	38
УИК №2858	879	800	0	433	10	357	10	433	23	420	0	0	73	317	18	12
УИК №2859	2467	2300	0	1218	20	1062	20	1218	74	1164	0	0	355	687	71	51
УИК №2860	1006	1000	0	353	13	634	13	353	26	340	0	0	120	183	20	17
УИК №2861	1723	1500	0	414	6	1080	6	414	23	397	0	0	145	215	28	9
УИК №2862	1486	1500	0	811	7	682	7	811	20	798	0	0	119	614	41	24
УИК №2863	1535	1500	0	843	13	644	13	843	32	824	0	0	245	503	48	28
УИК №2864	1466	1400	0	766	5	629	5	766	30	741	0	0	122	568	35	16
УИК №2865	2067	2000	0	1128	10	862	10	1128	20	1118	0	0	184	834	55	45
УИК №2866	2600	2300	0	1415	15	870	15	1415	6	1424	0	0	229	1072	62	61
УИК №2867	1350	1200	0	1133	2	65	2	1133	33	1102	0	0	63	972	42	25
УИК №2880	260	260	0	179	76	5	76	179	18	237	0	0	69	141	17	10
УИК №2881	215	350	0	215	0	135	0	215	4	211	0	0	17	187	2	5
УИК №2882	271	350	0	271	0	79	0	271	48	223	0	0	58	143	12	10
УИК №2883	1391	1500	0	1356	13	131	13	1356	2	1367	0	0	13	1342	4	8
УИК №2884	471	500	0	466	0	34	0	466	2	464	0	0	12	448	3	1
УИК №2885	735	1000	0	700	0	300	0	700	11	689	0	0	30	652	4	3
УИК №2886	1748	1800	0	1724	24	52	24	1724	2	1746	0	0	52	1659	21	14
УИК №2887	2022	2300	0	2022	0	278	0	2022	11	2011	0	0	75	1907	17	12
УИК №2888	353	500	0	353	0	147	0	353	7	346	0	0	12	318	9	7
УИК №2889	718	1000	0	718	0	282	0	718	6	712	0	0	11	690	4	7
УИК №3801	542	600	0	457	28	115	28	457	8	477	0	0	22	437	12	6
УИК №3802	116	130	0	93	10	27	10	93	7	96	0	0	6	89	0	1
УИК №3803	113	150	27	70	2	51	29	70	5	94	0	0	10	84	0	0
УИК №3804	409	450	0	364	8	78	8	364	0	372	0	0	12	345	10	5
УИК №3805	235	250	0	201	11	38	11	201	0	212	0	0	10	195	4	3
УИК №3806	206	250	0	176	10	64	10	176	8	178	0	0	8	160	4	6
УИК №3807	120	130	0	110	6	14	6	110	0	116	0	0	3	111	2	0
УИК №3808	1018	1000	39	844	11	106	50	844	12	882	0	0	99	749	24	10
УИК №3809	473	500	0	387	20	93	20	387	11	396	0	0	46	345	1	4
УИК №3810	239	250	0	215	13	22	13	215	9	219	0	0	24	187	5	3
УИК №3811	1896	1900	0	804	127	969	127	804	64	867	0	0	225	557	41	44
УИК №3812	2070	2000	0	1732	9	259	9	1732	98	1643	0	0	79	1479	52	33
УИК №3813	533	550	0	436	50	64	50	436	4	482	0	0	25	449	5	3
УИК №3814	1358	1300	0	572	4	724	4	572	40	536	0	0	203	259	43	31
УИК №3815	2257	2200	0	1770	78	352	78	1770	51	1797	0	0	442	1201	76	78
УИК №3816	951	950	0	772	37	141	37	772	15	794	0	0	64	691	22	17
УИК №3817	231	230	0	189	12	29	12	189	0	201	0	0	30	169	1	1
УИК №3818	119	120	0	83	20	17	20	83	0	103	0	0	13	88	2	0
УИК №3819	276	300	0	115	11	174	11	115	5	121	0	0	65	44	6	6
УИК №3820	328	330	0	247	32	51	32	247	0	279	0	0	29	245	4	1
УИК №3821	121	120	0	107	0	13	0	107	0	107	0	0	2	104	0	1
УИК №3822	280	300	0	211	42	47	42	211	0	253	0	0	15	231	5	2
УИК №3823	229	230	0	176	15	39	15	176	2	189	0	0	11	170	3	5
УИК №3824	154	160	0	115	20	25	20	115	5	130	0	0	10	106	4	10
УИК №3825	185	200	0	91	10	99	10	91	7	94	0	0	31	51	11	1
УИК №3826	524	500	0	382	79	39	79	382	14	447	0	0	43	386	11	7
УИК №3827	558	600	0	154	323	123	323	154	14	463	0	0	44	387	19	13
УИК №3828	242	240	0	200	9	31	9	200	2	207	0	0	20	177	4	6
УИК №3829	741	700	0	470	1	229	1	451	0	452	0	0	96	320	22	14
УИК №3830	1877	1800	0	1096	9	695	9	1096	53	1052	0	0	277	656	49	70
УИК №3831	1470	1400	0	1243	10	147	10	1243	14	1239	0	0	159	1061	8	11
УИК №2901	1114	910	0	491	12	407	12	491	18	485	0	0	157	268	40	20
УИК №2902	1099	890	0	512	27	351	27	512	28	511	0	0	177	267	30	37
УИК №2903	1040	850	0	550	22	278	22	550	26	546	0	0	136	341	33	36
УИК №2904	1237	980	0	588	95	297	95	588	32	651	0	0	179	423	22	27
УИК №2905	1125	910	0	414	7	489	7	414	20	401	0	0	147	194	37	23
УИК №2906	1174	950	0	342	31	577	31	342	29	344	0	0	105	195	21	23
УИК №2907	1040	840	0	356	47	437	47	356	28	375	0	0	123	204	25	23
УИК №2908	854	710	0	347	14	349	14	347	30	331	0	0	107	171	22	31
УИК №2909	369	300	0	170	8	122	8	170	5	173	0	0	60	93	13	7
УИК №2910	848	690	0	282	13	395	13	282	14	281	0	0	69	186	10	16
УИК №2911	155	120	0	73	6	41	6	73	1	78	0	0	20	48	7	3
УИК №2912	551	450	0	190	35	225	35	190	8	217	0	0	50	156	7	4
УИК №2913	548	450	0	225	57	168	57	225	7	275	0	0	29	234	4	8
УИК №2914	182	140	0	68	3	69	3	68	1	70	0	0	11	57	1	1
УИК №2915	535	440	0	153	26	261	26	153	10	169	0	0	54	96	6	13
УИК №2916	1727	1500	599	367	48	486	647	367	76	938	0	0	138	734	22	44
УИК №2917	409	330	0	156	25	149	25	156	13	168	0	0	45	107	7	9
УИК №2918	62	50	0	32	0	18	0	32	1	31	0	0	1	30	0	0
УИК №2919	414	330	0	165	11	154	11	165	5	171	0	0	58	101	7	5
УИК №2920	165	140	0	85	17	38	17	85	1	101	0	0	27	70	1	3
УИК №2921	173	140	0	87	5	48	5	87	13	79	0	0	10	65	1	3
УИК №2922	470	380	0	171	26	183	26	171	8	189	0	0	35	133	7	14
УИК №2923	202	170	0	75	16	79	16	75	4	87	0	0	3	79	3	2
УИК №2924	807	660	0	289	29	342	29	289	17	301	0	0	79	188	8	26
УИК №2925	357	290	0	153	35	102	35	153	3	185	0	0	35	137	7	6
УИК №2926	67	50	0	35	3	12	3	35	2	36	0	0	12	20	4	0
УИК №2927	338	280	0	128	17	135	17	128	9	136	0	0	30	94	10	2
УИК №2928	84	70	0	47	3	20	3	47	3	47	0	0	15	30	0	2
УИК №3001	562	540	3	258	9	270	12	258	19	251	0	0	61	169	8	13
УИК №3002	405	400	0	210	0	190	0	210	16	194	0	0	39	141	11	3
УИК №3003	1011	1000	2	315	3	680	5	315	23	297	0	0	122	140	23	12
УИК №3004	287	290	0	155	0	135	0	155	7	148	0	0	23	113	7	5
УИК №3005	1160	1160	0	586	6	568	6	586	31	561	0	0	136	383	21	21
УИК №3006	759	750	0	428	5	317	5	425	14	416	0	0	114	280	15	7
УИК №3007	175	190	0	54	0	136	0	54	3	51	0	0	26	16	8	1
УИК №3008	454	460	0	188	0	272	0	188	21	167	0	0	73	64	14	16
УИК №3009	458	460	0	229	11	220	11	229	8	232	0	0	41	172	9	10
УИК №3010	1685	1700	0	449	10	1241	10	449	18	441	0	0	131	253	28	29
УИК №3011	1037	1020	0	283	10	727	10	283	5	288	0	0	96	160	18	14
УИК №3012	723	730	25	191	8	506	33	191	7	217	0	0	99	98	12	8
УИК №3013	651	650	0	161	2	487	2	161	7	156	0	0	58	87	7	4
УИК №3014	674	690	0	236	3	451	3	236	19	220	0	0	79	116	16	9
