Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №614	1763	1500	0	454	5	1041	5	454	16	443	0	0	208	150	49	36
УИК №615	1584	1500	0	507	7	986	7	507	32	482	0	0	210	207	42	23
УИК №616	2536	2500	0	758	15	1727	15	758	38	735	0	0	353	284	58	40
УИК №617	1644	1300	0	550	10	740	10	549	18	541	0	0	252	223	43	23
УИК №618	2340	2000	0	694	8	1298	8	694	25	677	0	0	274	291	59	53
УИК №619	2488	2000	0	744	18	1238	18	744	36	726	0	0	285	343	61	37
УИК №620	1962	1600	0	697	6	897	6	696	55	647	0	0	304	250	53	40
УИК №621	2223	1800	0	803	16	981	16	802	26	792	0	0	152	594	31	15
УИК №622	1883	1500	0	603	12	885	12	602	17	597	0	0	128	453	11	5
УИК №623	1602	1300	0	567	6	727	6	567	14	559	0	0	107	419	22	11
УИК №624	1392	1100	0	519	1	580	1	519	31	489	0	0	219	191	49	30
УИК №625	1790	1500	0	607	2	891	2	607	30	579	0	0	260	226	58	35
УИК №626	1569	1300	0	406	6	888	6	406	14	398	0	0	195	146	31	26
УИК №627	2560	2000	0	759	13	1228	13	759	42	730	0	0	304	317	65	44
УИК №628	1365	1100	0	452	2	646	2	452	22	432	0	0	221	152	39	20
УИК №629	2538	2000	0	835	20	1145	20	835	32	823	0	0	174	625	16	8
УИК №630	2098	2000	0	526	5	1469	5	526	24	507	0	0	222	209	55	21
УИК №631	2227	2000	0	759	9	1232	9	759	38	730	0	0	318	308	63	41
УИК №632	2076	2000	0	643	10	1347	10	643	24	629	0	0	213	326	55	35
УИК №633	1481	1500	0	448	12	1040	12	447	13	446	0	0	200	174	44	28
УИК №634	1786	1500	0	890	2	608	2	890	15	877	0	0	168	657	35	17
УИК №635	1691	1500	0	849	5	646	5	849	16	838	0	0	161	628	33	16
УИК №636	2188	1800	0	689	3	1108	3	689	24	668	0	0	284	278	66	40
УИК №637	2015	1600	0	500	10	1090	10	500	26	484	0	0	229	187	42	26
УИК №638	1499	1200	0	540	3	657	3	540	7	536	0	0	103	402	21	10
УИК №639	2163	1700	0	675	13	1012	13	675	19	669	0	0	142	508	13	6
УИК №640	2372	2000	0	790	10	1200	10	789	31	768	0	0	312	343	73	40
УИК №641	2212	1800	0	663	2	1135	2	663	11	654	0	0	138	497	13	6
УИК №642	2122	1700	0	476	6	1218	6	476	26	456	0	0	198	181	53	24
УИК №643	2284	2000	0	581	6	1413	6	581	20	567	0	0	255	255	39	18
УИК №644	2520	2000	0	778	3	1219	3	777	13	767	0	0	163	582	15	7
УИК №645	1705	1300	0	551	2	747	2	551	27	526	0	0	243	214	47	22
УИК №646	2071	2000	0	742	4	1254	4	742	22	724	0	0	321	302	69	32
УИК №647	2282	2200	0	875	15	1310	15	875	28	862	0	0	304	453	73	32
УИК №648	1034	1000	7	257	37	699	44	257	12	289	0	0	78	187	13	11
УИК №649	2613	2200	0	810	7	1383	7	810	14	803	0	0	169	610	16	8
УИК №650	2303	2000	0	658	10	1332	10	658	34	634	0	0	272	268	65	29
УИК №651	1929	1800	0	642	2	1156	2	640	31	611	0	0	324	195	48	44
УИК №652	1378	1250	0	816	11	423	11	816	23	804	0	0	235	394	90	85
УИК №653	1516	1500	0	506	4	990	4	506	24	486	0	0	194	233	33	26
УИК №654	1721	1500	0	527	4	969	4	527	37	494	0	0	202	227	38	27
УИК №680	135	136	0	135	0	1	0	135	1	134	0	0	4	128	0	2
УИК №681	244	246	0	243	1	2	1	243	8	236	0	0	26	189	10	11
УИК №682	175	178	0	175	0	3	0	175	15	160	0	0	8	144	2	6
УИК №5501	73	75	0	73	0	2	0	73	3	70	0	0	1	68	1	0
УИК №701	1924	1600	0	971	18	611	18	971	31	958	0	0	135	728	57	38
УИК №702	2047	1700	0	702	19	979	19	702	29	692	0	0	291	303	66	32
УИК №703	1969	1900	0	750	7	1143	7	748	42	713	0	0	264	367	52	30
УИК №704	1601	1500	0	561	6	933	6	561	21	546	0	0	216	251	52	27
УИК №705	2138	2100	0	640	8	1452	8	640	27	621	0	0	287	236	63	35
УИК №706	2419	2400	0	951	11	1438	11	951	33	929	0	0	388	418	74	49
УИК №707	2181	2100	0	780	4	1316	4	780	34	750	0	0	341	297	77	35
УИК №708	2128	2100	0	809	5	1286	5	809	39	775	0	0	349	306	90	30
УИК №709	1989	1700	0	713	6	981	6	712	35	683	0	0	286	290	70	37
УИК №710	2109	1800	0	673	22	1105	22	673	28	667	0	0	95	506	40	26
УИК №711	2222	2200	0	762	10	1428	10	762	33	739	0	0	305	314	65	55
УИК №712	2444	2000	0	923	23	1054	23	922	47	898	0	0	337	443	70	48
УИК №713	1724	1500	0	659	16	825	16	659	23	652	0	0	92	495	39	26
УИК №714	1670	1400	0	577	8	815	8	575	20	563	0	0	203	269	66	25
УИК №715	1673	1600	0	595	6	999	6	595	26	575	0	0	233	256	65	21
УИК №716	1804	1800	0	640	6	1154	6	640	32	614	0	0	240	279	73	22
УИК №717	2086	2000	0	670	5	1325	5	669	31	643	0	0	255	303	55	30
УИК №718	1495	1200	0	736	2	462	2	736	45	693	0	0	304	266	58	65
УИК №719	1904	1800	0	624	5	1171	5	624	37	592	0	0	224	283	61	24
УИК №720	1797	1600	0	750	2	848	2	750	22	730	0	0	334	290	64	42
УИК №721	1609	1400	0	517	14	869	14	516	18	512	0	0	73	389	30	20
УИК №722	1458	1400	0	590	14	796	14	590	23	581	0	0	233	267	53	28
УИК №723	2648	2500	0	875	13	1612	13	875	38	850	0	0	340	388	75	47
УИК №724	2799	2200	0	1101	10	1089	10	1098	57	1051	0	0	448	437	104	62
УИК №725	2290	1900	0	849	8	1043	8	849	16	841	0	0	119	639	50	33
УИК №726	2478	2400	0	915	12	1473	12	915	32	895	0	0	353	416	81	45
УИК №727	2218	2100	0	888	11	1201	11	888	25	874	0	0	292	465	74	43
УИК №728	1400	1300	0	446	4	850	4	446	21	429	0	0	171	181	49	28
УИК №729	2301	1900	0	867	7	1026	7	866	15	858	0	0	121	652	51	34
УИК №730	2125	1900	0	841	13	1046	13	839	25	827	0	0	298	429	74	26
УИК №731	2022	1900	0	804	14	1082	14	804	40	778	0	0	268	405	70	35
УИК №732	1687	1600	0	596	4	1000	4	594	28	570	0	0	233	275	45	17
УИК №733	1917	1600	0	727	5	868	5	727	21	711	0	0	278	348	61	24
УИК №734	1522	1300	0	526	18	756	18	526	29	515	0	0	255	180	52	28
УИК №735	2518	2500	0	900	6	1594	6	900	36	870	0	0	367	354	91	58
УИК №736	1961	1700	0	580	14	1106	14	580	26	568	0	0	257	244	44	23
УИК №737	1886	1800	0	688	0	1112	0	687	35	652	0	0	308	262	56	26
УИК №738	1808	1800	0	562	4	1234	4	562	22	544	0	0	238	228	51	27
УИК №739	1681	1400	0	515	20	865	20	515	24	511	0	0	73	388	30	20
УИК №740	1926	1900	0	616	3	1281	3	616	28	591	0	0	290	225	47	29
УИК №741	2821	2200	0	781	2	1417	2	781	6	777	0	0	110	590	46	31
