	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1107	2230	2000	0	1177	46	776	46	1176	29	1193	66	64	33	2	0	0	1	0	100	241	52	250	550
УИК №1108	2353	2000	0	1341	55	604	55	1341	26	1370	62	60	61	2	4	0	0	0	113	273	73	274	637
УИК №1109	2335	2000	0	1210	40	750	40	1210	35	1215	65	64	18	1	0	0	0	0	93	240	66	232	584
УИК №1110	2367	2000	0	1142	32	826	32	1139	34	1137	65	56	23	9	2	0	0	0	88	228	69	191	561
УИК №1111	2248	2000	0	1144	63	793	63	1141	126	1078	50	37	29	13	1	0	0	0	66	229	48	178	557
УИК №1112	1103	2000	0	1052	51	897	51	1052	10	1093	54	52	23	2	1	0	0	0	99	217	59	170	548
УИК №111	2543	2500	0	1222	44	1234	44	1217	25	1236	50	46	32	4	0	0	0	0	86	238	49	249	614
УИК №1113	2153	2000	0	1162	41	797	41	1159	30	1170	60	55	43	5	1	0	0	0	85	238	84	184	579
УИК №1114	2428	2000	0	1344	34	622	34	1344	30	1348	52	51	58	1	1	0	0	0	99	201	65	203	780
УИК №1115	2497	2000	0	1392	71	537	71	1387	35	1423	72	72	24	0	4	0	0	0	101	263	87	274	698
УИК №1116	2326	2000	0	1301	32	667	32	1301	28	1305	80	64	55	16	2	0	0	0	100	244	79	288	594
УИК №1117	2395	2000	0	1458	28	514	28	1454	28	1454	75	75	38	0	3	0	0	0	121	320	80	309	624
УИК №1118	2243	2000	0	1371	26	603	26	1365	26	1365	70	61	24	9	3	0	0	0	101	324	51	278	611
УИК №1119	2365	2000	0	1442	27	531	27	1433	23	1437	77	76	69	1	4	0	0	0	89	321	71	312	644
УИК №11	1947	1500	0	1102	31	367	31	1100	24	1107	50	47	98	3	0	0	0	0	69	237	55	371	375
УИК №1120	2458	2000	0	1302	58	640	58	1302	18	1342	70	70	25	0	1	0	0	0	98	275	91	240	638
УИК №1121	2087	2000	0	1145	34	821	34	1145	27	1152	60	59	61	1	3	0	0	0	81	223	69	221	558
УИК №1122	2169	2000	0	1185	34	781	34	1177	24	1187	50	35	25	15	1	0	0	0	85	215	54	150	683
УИК №112	2910	2900	0	1558	46	1296	46	1552	37	1561	70	70	39	0	1	0	0	0	82	298	85	330	766
УИК №1123	2515	2000	0	1486	30	484	30	1480	27	1483	62	62	43	0	1	0	0	0	94	256	77	275	781
УИК №1124	127	200	0	124	3	73	3	124	4	123	25	10	28	15	1	0	0	0	6	25	12	26	54
УИК №1125	2014	2000	0	1073	37	890	37	1073	20	1090	52	48	19	4	1	0	0	0	78	237	65	200	510
УИК №1126	2117	2000	0	1170	44	786	44	1166	31	1179	53	50	79	3	1	0	0	0	83	216	47	195	638
УИК №1127	2105	2000	0	1172	50	778	50	1172	24	1198	65	62	62	3	3	0	0	0	68	235	69	245	581
УИК №1128	1607	1300	0	831	31	438	31	831	19	843	35	32	29	3	2	0	0	0	40	179	47	208	369
УИК №1129	2228	2000	0	1268	28	704	28	1268	17	1279	50	42	53	8	1	0	0	0	76	208	72	275	648
УИК №1130	2276	2000	0	1377	33	590	33	1377	0	1410	50	48	38	2	1	0	0	0	98	245	81	259	727
УИК №1131	2319	2000	0	1406	42	552	42	1406	30	1418	75	60	33	15	3	0	0	0	96	309	96	280	637
УИК №1132	2149	2000	0	1195	38	767	38	1195	23	1210	80	74	68	6	5	0	0	0	87	248	73	262	540
УИК №113	2528	2500	0	1265	61	1174	60	1092	42	1110	50	49	30	1	1	0	0	0	83	215	58	251	503
УИК №1133	2312	2000	0	1305	44	651	44	1297	24	1317	52	50	47	2	5	0	0	0	101	177	73	126	840
УИК №1134	2274	2000	0	1180	57	763	57	1178	26	1209	70	67	36	3	5	0	0	0	76	169	46	148	770
УИК №1135	2121	2000	0	1148	40	812	40	1148	21	1167	50	50	31	0	0	0	0	0	93	218	83	194	579
УИК №1136	2136	2000	0	1164	70	766	70	1164	19	1215	50	47	73	3	4	0	0	0	94	246	73	208	594
УИК №1137	2300	2000	0	1336	33	631	33	1334	39	1328	75	73	75	2	2	0	0	0	84	269	57	339	579
УИК №1138	2244	2000	0	1300	52	648	52	1300	39	1313	50	48	47	2	6	0	0	0	77	271	75	275	615
УИК №1139	2500	2000	0	1329	42	629	42	1327	32	1337	60	54	22	6	0	0	0	0	78	278	82	274	625
УИК №1140	2513	2000	0	1446	112	442	111	1446	43	1514	50	38	39	12	1	0	0	0	97	323	75	316	703
УИК №1141	2555	2000	0	1398	217	385	217	1398	40	1575	62	62	67	0	4	0	0	0	119	360	103	265	728
УИК №1142	2648	2000	0	1554	30	416	30	1549	30	1549	76	76	41	0	3	0	0	0	104	325	91	338	691
УИК №114	3089	2500	0	1639	51	810	51	1634	35	1650	70	60	88	10	0	0	0	0	76	340	89	506	639
УИК №1143	2649	2000	0	1417	48	535	48	1411	30	1429	51	51	88	0	3	0	0	0	115	331	64	253	666
УИК №1144	2436	2000	0	1395	13	592	13	1391	19	1385	80	79	91	1	0	0	0	0	67	327	81	148	762
УИК №1145	2456	2000	0	1346	39	615	39	1346	12	1373	66	65	44	1	0	0	0	0	86	253	51	157	826
УИК №1146	2208	1600	0	1367	82	151	82	1365	27	1420	50	47	237	3	2	0	0	0	58	306	84	273	699
УИК №1147	2202	1600	0	1238	71	291	71	1229	30	1270	50	36	100	14	0	0	0	0	72	238	70	325	565
УИК №1148	2259	1700	0	1271	50	379	50	1271	32	1289	60	52	96	8	2	0	0	0	68	241	82	319	579
УИК №1149	2086	1500	0	1177	24	299	24	1140	30	1134	65	59	149	6	0	0	0	0	91	222	38	228	555
УИК №1150	1955	1500	0	1048	27	425	27	1044	24	1047	65	56	79	9	3	0	0	0	74	198	60	197	518
УИК №1151	2321	1700	0	1370	71	259	71	1366	23	1414	65	60	95	5	3	0	0	0	88	288	80	329	629
УИК №1152	2060	1600	0	1231	70	299	70	1231	28	1273	65	53	73	12	0	0	0	0	49	246	69	345	564
УИК №115	2549	2100	0	1317	61	722	61	1312	30	1343	40	33	61	7	0	0	0	0	70	325	78	330	540
УИК №1153	1947	1500	0	1114	62	324	62	1112	26	1148	65	52	30	13	0	0	0	0	72	232	62	254	528
УИК №1154	2579	2000	0	1480	61	459	61	1480	25	1516	65	59	79	6	4	0	0	0	80	284	67	384	701
УИК №1155	2519	2000	0	1528	73	399	73	1496	36	1533	73	70	34	3	2	0	0	0	71	290	87	359	726
УИК №1156	2474	2000	0	1438	53	509	52	1434	20	1466	65	58	30	7	1	0	0	0	87	288	67	313	711
УИК №1157	2282	1800	0	1330	58	412	58	1322	33	1347	50	48	64	2	1	0	0	0	99	290	95	275	588
УИК №1158	2283	1700	0	1326	62	312	62	1324	32	1354	65	57	36	8	0	0	0	0	106	242	82	275	649
УИК №1159	2192	1700	0	1193	69	438	69	1191	24	1236	80	61	34	19	3	0	0	0	70	243	69	326	528
УИК №1160	2242	1800	0	1154	55	591	55	1148	30	1173	80	72	56	8	0	0	0	0	87	247	51	252	536
УИК №1161	2257	1700	0	1314	82	304	82	1313	30	1365	50	37	80	13	0	0	0	0	68	282	80	296	639
УИК №116	1467	1000	0	870	20	110	20	870	19	871	30	26	41	4	0	0	0	0	56	171	54	244	346
УИК №1162	2328	1800	0	1343	62	395	62	1334	30	1366	65	62	68	3	2	0	0	0	90	267	79	283	647
УИК №1163	2204	1700	0	1254	85	361	85	1254	32	1307	50	43	49	7	0	0	0	0	67	273	94	270	603
УИК №1164	2576	2000	0	1435	90	475	90	1435	36	1489	65	49	53	16	4	0	0	0	81	325	71	362	650
УИК №1165	2552	2000	0	1360	90	550	90	1360	45	1405	80	65	90	15	5	0	0	0	88	244	83	356	634
УИК №1166	2521	2000	0	1500	73	427	73	1498	89	1482	85	78	75	7	3	0	0	0	68	317	83	375	639
УИК №1167	2267	1800	0	1303	70	427	70	1300	25	1345	75	68	31	7	0	0	0	0	73	297	73	285	617
УИК №1168	2483	2200	0	1310	68	822	68	1307	20	1355	80	79	33	1	1	0	0	0	94	250	83	253	675
УИК №1169	2723	2350	0	1364	80	906	80	1352	29	1403	88	86	39	2	0	0	0	0	96	273	69	278	687
УИК №1170	2535	2200	0	1318	75	807	75	1315	28	1362	60	60	67	0	0	0	0	0	98	267	80	211	706
УИК №1171	2263	1900	0	1300	24	576	24	1293	27	1290	64	61	106	3	3	0	0	0	83	204	59	328	616
УИК №1172	2070	1800	0	1078	56	666	56	1075	20	1111	60	60	44	0	1	0	0	0	69	246	64	191	541
УИК №117	2540	2100	0	1443	21	636	21	1438	30	1429	50	46	51	4	0	0	0	0	101	316	71	372	569
УИК №1173	2148	1850	0	1131	56	663	56	1128	23	1161	56	53	37	3	1	0	0	0	74	242	67	208	570
УИК №1174	2277	1900	0	1189	52	659	52	1187	21	1218	40	40	71	0	3	0	0	0	76	261	62	239	580
УИК №1175	2466	2050	0	1347	83	620	83	1346	38	1391	65	60	90	5	3	0	0	0	80	286	79	297	649
УИК №1176	2330	1950	0	1241	90	619	90	1239	22	1307	50	48	83	2	0	0	0	0	72	248	82	250	655
УИК №1177	2397	1950	0	1255	72	623	72	1231	72	1231	50	45	97	5	3	0	0	0	90	228	74	239	600
УИК №1178	2763	2350	0	1409	49	892	49	1405	20	1434	65	61	75	4	1	0	0	0	107	267	80	268	712
УИК №1179	1349	1100	0	678	34	388	34	676	10	700	30	24	40	6	0	0	0	0	47	130	45	148	330
УИК №1180	2065	1750	0	1244	86	420	86	1244	24	1306	50	50	69	0	1	0	0	0	49	262	82	399	514
УИК №1181	2475	2050	0	1309	88	653	87	1303	18	1372	55	51	77	4	1	0	0	0	79	245	88	336	624
УИК №1182	2018	1700	0	1150	43	507	43	1148	15	1176	45	37	31	8	0	0	0	0	73	226	64	235	578
УИК №118	2418	2000	0	1429	29	542	29	1423	29	1423	50	42	76	8	0	0	0	0	90	322	92	328	591
УИК №1183	2561	2200	0	1460	60	680	60	1453	27	1486	78	78	71	0	3	0	0	0	107	306	79	345	649
УИК №1184	2123	1750	0	1235	42	473	42	1235	21	1256	61	57	102	4	2	0	0	0	76	234	74	293	579
УИК №1185	2331	2000	0	1282	51	667	51	1278	28	1301	66	61	44	5	0	0	0	0	90	258	85	231	637
УИК №1186	2025	1750	0	993	64	693	64	990	24	1030	54	54	29	0	1	0	0	0	76	183	69	216	486
УИК №1187	2408	2100	0	1238	52	810	52	1229	32	1249	56	52	36	4	1	0	0	0	73	254	78	195	649
УИК №1188	2236	1950	0	1132	47	771	47	1130	20	1157	46	46	28	0	1	0	0	0	96	199	77	213	572
УИК №1189	2196	1850	0	1268	56	526	56	1264	22	1298	50	50	61	0	4	0	0	0	90	253	67	227	661
УИК №1190	2077	1800	0	1101	75	624	75	1098	21	1152	40	40	31	0	0	0	0	0	49	235	72	226	570
УИК №1191	1958	1700	0	1135	103	462	103	1135	29	1209	44	39	39	5	0	0	0	0	71	238	48	247	605
УИК №1192	2231	1950	0	1281	61	608	61	1281	33	1309	55	53	25	2	1	0	0	0	75	270	63	248	653
УИК №119	2742	2400	0	1538	61	801	61	1532	47	1546	70	52	27	18	0	0	0	0	96	329	93	347	681
УИК №1193	2668	2000	0	1387	64	549	64	1384	49	1399	60	57	127	3	0	0	0	0	88	267	73	288	683
УИК №1194	1427	1000	0	806	53	141	53	803	17	839	40	33	25	7	0	0	0	0	36	185	63	198	357
