	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1	1952	1400	0	1080	52	268	52	1078	40	1090	50	47	79	3	0	0	0	0	30	214	51	384	411
УИК №1195	2776	2500	0	1631	83	786	83	1627	40	1670	70	70	135	0	1	0	0	0	98	323	98	350	801
УИК №1196	2624	2000	0	1535	54	411	54	1535	38	1551	76	73	132	3	4	0	0	0	120	307	87	277	760
УИК №1197	2487	2000	0	1335	112	553	112	1329	32	1409	85	80	58	5	0	0	0	0	96	284	56	273	700
УИК №1198	2265	2000	0	1377	77	546	77	1357	0	1434	60	54	86	6	6	0	0	0	91	246	85	286	726
УИК №1199	2706	2500	0	1689	81	730	81	1685	31	1735	60	59	94	1	1	0	0	0	74	379	117	446	719
УИК №1200	2379	2000	0	1407	107	486	107	1403	29	1481	63	63	35	0	0	0	0	0	95	307	86	311	682
УИК №1201	2390	2000	0	1515	75	410	75	1513	51	1537	60	48	100	11	0	1	0	0	84	334	73	383	663
УИК №1202	1558	1050	0	970	36	44	36	969	20	985	33	33	59	0	0	0	0	0	54	185	54	300	392
УИК №120	2533	2100	0	1460	55	585	55	1455	27	1483	60	59	59	1	1	0	0	0	83	313	102	327	658
УИК №1203	2177	2000	0	1245	69	686	69	1240	25	1284	63	60	63	3	1	0	0	0	93	254	77	282	578
УИК №1204	1727	1500	0	1020	61	419	61	1013	18	1056	60	52	61	8	5	0	0	0	74	230	52	232	468
УИК №1205	2523	2000	0	1412	93	495	93	1412	29	1476	46	45	65	1	1	0	0	0	94	300	75	305	702
УИК №1206	2525	2000	0	1473	67	460	67	1472	39	1500	55	55	67	0	3	0	0	0	111	280	86	281	742
УИК №1207	2440	2000	0	1366	58	576	58	1364	34	1388	60	60	49	0	1	0	0	0	107	292	78	222	689
УИК №1208	2595	2000	0	1441	63	496	63	1441	37	1467	55	49	65	6	2	0	0	0	98	270	80	347	672
УИК №1209	2172	2000	0	1149	51	800	51	1143	16	1178	65	64	45	1	0	0	0	0	92	207	72	187	620
УИК №1210	2340	2000	0	1270	93	637	93	1265	25	1333	46	42	155	4	3	0	0	0	85	308	75	210	655
УИК №1211	2399	2000	0	1208	57	735	57	1208	23	1242	60	60	25	0	2	0	0	0	97	279	66	192	608
УИК №121	1966	1500	0	1174	35	291	35	1169	36	1168	50	50	76	0	1	0	0	0	59	258	58	255	538
УИК №1212	3054	2500	0	1673	49	778	49	1670	41	1678	80	79	36	1	2	0	0	0	143	365	72	334	764
УИК №1213	2175	2000	0	1164	73	763	73	1164	26	1211	55	48	62	7	1	0	0	0	105	248	60	191	607
УИК №1214	2584	2000	0	1410	42	548	42	1404	22	1424	70	70	32	0	3	0	0	0	97	289	85	288	665
УИК №1215	2832	2500	0	1504	115	881	115	1488	33	1570	90	88	82	2	1	0	0	0	113	304	73	305	775
УИК №1216	460	550	0	327	5	218	5	326	2	329	35	19	77	16	0	0	0	0	23	57	27	52	170
УИК №1217	215	200	0	137	4	59	4	137	5	136	10	7	17	3	0	0	0	0	12	23	10	30	61
УИК №1218	2105	1485	0	1236	45	204	45	1233	25	1253	67	54	39	13	4	0	0	0	76	249	64	322	542
УИК №1219	1474	1014	0	799	30	185	30	797	14	813	50	39	42	11	0	0	0	0	33	163	51	210	356
УИК №12	2020	1500	0	1088	42	370	42	1086	35	1093	60	60	58	0	1	0	0	0	40	188	85	361	419
УИК №1220	2107	1466	0	1219	48	199	48	1213	26	1235	58	50	68	8	1	0	0	0	59	249	78	321	528
УИК №1221	2198	1657	0	1330	58	269	58	1328	23	1363	60	46	107	14	0	0	0	0	95	278	88	333	569
УИК №1222	2078	1460	0	1280	53	127	53	1278	51	1280	75	63	54	12	2	0	0	0	65	265	71	347	532
УИК №122	2476	2100	0	1277	24	799	24	1275	20	1279	55	55	30	0	0	0	0	0	98	275	75	267	564
УИК №1223	1674	1158	0	1000	32	126	32	1000	25	1007	40	32	52	8	2	0	0	0	43	215	53	300	396
УИК №1224	2080	1457	0	1214	24	219	24	1214	32	1206	60	40	19	20	2	0	0	0	68	228	77	303	530
УИК №1225	2044	1453	0	1326	32	95	32	1322	23	1331	240	198	79	42	0	0	0	0	61	317	59	312	582
УИК №1226	1560	1068	0	814	20	234	20	814	20	814	30	25	35	5	3	0	0	0	54	161	33	195	371
УИК №1227	2202	1503	0	1268	30	205	30	1258	34	1254	60	53	25	7	0	0	0	0	51	292	74	318	519
УИК №1228	2100	1471	0	1249	49	173	49	1249	25	1273	50	44	46	6	0	0	0	0	64	308	64	317	520
УИК №1229	2101	1434	0	1287	39	108	39	1261	22	1278	150	135	35	15	1	0	0	0	63	272	81	317	545
УИК №1230	2057	1459	0	1308	33	118	33	1305	25	1313	105	97	38	8	3	0	0	0	57	282	73	342	559
УИК №1231	2149	1506	0	1151	31	324	31	1149	32	1148	40	38	26	2	4	0	0	0	65	216	65	342	460
УИК №1232	2399	1577	0	1272	61	244	61	1269	29	1301	62	60	36	2	2	0	0	0	90	261	70	300	580
УИК №123	2691	2100	0	1443	34	623	34	1434	48	1420	50	47	88	3	1	0	0	0	106	300	90	304	620
УИК №1233	2157	1493	0	1307	43	143	43	1307	38	1312	80	67	81	13	1	0	0	0	69	305	60	274	604
УИК №1234	2182	1519	0	1160	22	337	22	1160	21	1161	120	114	97	6	1	0	0	0	69	228	59	287	518
УИК №1235	2206	1800	0	1187	39	574	39	1187	29	1197	45	45	16	0	2	0	0	0	94	232	48	211	612
УИК №1236	2046	1700	0	1102	47	551	47	1100	30	1117	45	44	27	1	0	0	0	0	60	240	86	225	506
УИК №1237	2299	1850	0	1270	34	546	34	1233	24	1243	39	39	32	0	0	0	0	0	70	268	82	214	609
УИК №1238	1843	1450	0	848	19	583	19	848	15	852	10	10	49	0	0	0	0	0	54	128	36	271	363
УИК №1239	2909	2250	0	1600	62	588	62	1597	32	1627	56	55	86	1	3	0	0	0	109	375	90	281	772
УИК №1240	2676	2100	0	1605	39	456	39	1560	29	1570	51	51	21	0	3	0	0	0	83	345	58	285	799
УИК №1241	1707	1450	0	1007	25	418	25	1004	22	1007	40	39	15	1	2	0	0	0	49	239	52	191	476
УИК №124	2235	1800	0	1181	37	582	37	1179	23	1193	55	55	53	0	0	0	0	0	68	234	70	268	553
УИК №1242	2386	1900	0	1257	54	589	54	1254	23	1285	28	27	16	1	2	0	0	0	64	254	64	269	634
УИК №1243	2041	1650	0	1159	61	430	61	1156	29	1188	40	39	30	1	0	0	0	0	80	245	66	226	571
УИК №1244	2021	1650	0	1170	38	442	38	1170	21	1187	38	37	18	1	4	0	0	0	78	269	76	244	520
УИК №1245	2228	1800	0	1258	43	499	43	1252	23	1272	50	50	29	0	0	0	0	0	86	269	77	254	586
УИК №1246	2308	1850	0	1267	52	531	52	1261	31	1282	38	38	19	0	0	0	0	0	72	326	70	223	591
УИК №1247	2473	1950	0	1396	35	519	35	1361	39	1357	45	44	53	1	0	0	0	0	97	245	42	266	707
УИК №1248	2353	1900	0	1322	29	549	29	1319	24	1324	45	43	24	2	3	0	0	0	106	281	60	240	637
УИК №1249	2608	2000	0	1331	59	610	59	1331	26	1364	60	55	42	5	2	0	0	0	83	307	64	243	667
УИК №1250	2728	2100	0	1393	152	555	152	1393	31	1514	70	68	35	2	2	0	0	0	104	291	84	283	752
УИК №1251	2662	2100	0	1408	51	641	51	1406	33	1424	45	44	26	1	0	0	0	0	106	315	77	246	680
УИК №1252	2430	1950	0	1340	66	544	66	1337	31	1372	50	50	35	0	2	0	0	0	88	280	85	250	669
УИК №125	3037	2500	0	1659	60	781	59	1658	33	1684	70	70	38	0	2	0	0	0	98	309	114	385	778
УИК №1253	2211	1800	0	1149	61	590	61	1147	12	1196	57	56	22	1	0	0	0	0	80	232	69	216	599
УИК №1254	2361	1850	0	1565	36	249	36	1561	42	1555	35	35	134	0	0	0	0	0	122	234	68	293	838
УИК №1255	2473	1950	0	1389	62	499	62	1389	35	1416	42	39	54	3	1	0	0	0	95	283	80	220	738
УИК №1256	2571	2000	0	1323	48	629	48	1316	24	1340	35	32	23	3	2	0	0	0	91	279	78	229	663
УИК №1257	2479	2000	0	1278	45	677	45	1271	23	1293	50	50	16	0	0	0	0	0	88	261	47	232	665
УИК №1258	2103	1700	0	1141	38	521	38	1141	38	1141	45	45	27	0	1	0	0	0	75	275	53	204	534
УИК №1259	2694	2100	0	1582	24	494	24	1574	19	1579	55	55	29	0	0	0	0	0	119	337	77	254	792
УИК №1260	2245	1800	0	1230	38	532	38	1227	20	1245	50	48	24	2	0	0	0	0	81	270	52	220	622
УИК №1261	1094	1700	0	1063	31	606	31	1063	29	1065	45	45	24	0	0	0	0	0	94	238	49	179	505
УИК №1262	2146	1750	0	1143	26	581	26	1143	28	1141	45	40	17	5	1	0	0	0	71	210	68	244	548
УИК №126	2873	2400	0	1466	50	884	50	1464	24	1490	70	58	39	12	5	0	0	0	105	261	65	326	733
УИК №1263	1791	1500	0	841	48	611	48	841	10	879	55	54	17	1	1	0	0	0	70	198	58	108	445
УИК №1264	1744	1450	0	952	31	467	31	952	9	974	50	49	29	1	1	0	0	0	73	198	54	167	482
УИК №1265	2196	1800	0	1239	27	534	27	1233	17	1243	60	58	25	2	1	0	0	0	88	256	51	218	630
УИК №1266	2312	1800	0	1206	39	555	39	1206	18	1227	55	54	25	1	2	0	0	0	80	243	64	220	620
УИК №1267	1824	1500	0	973	44	483	44	973	20	997	35	35	16	0	0	0	0	0	74	184	64	160	515
УИК №1268	2006	1650	0	1138	40	472	40	1133	21	1152	50	47	35	3	4	0	0	0	90	214	59	182	607
УИК №1269	1963	1600	0	1034	26	540	26	1034	29	1031	35	34	18	1	0	0	0	0	75	211	42	144	559
УИК №1270	2609	2050	0	1539	27	484	27	1537	31	1533	55	53	27	2	4	0	0	0	97	297	79	318	742
УИК №1271	2781	2100	0	1646	40	414	40	1641	16	1665	53	53	30	0	1	0	0	0	135	360	80	333	757
УИК №1272	2701	2200	0	1595	29	576	29	1595	30	1594	60	59	41	1	0	0	0	0	113	344	72	354	711
УИК №127	2858	2500	0	1563	41	896	41	1559	33	1567	60	52	50	8	0	0	0	0	100	305	70	335	757
УИК №1273	2803	2200	0	1589	41	570	41	1589	44	1586	55	54	45	1	1	0	0	0	80	316	58	383	749
УИК №1274	2859	2250	0	1662	30	558	30	1660	16	1674	53	53	40	0	2	0	0	0	110	320	63	369	812
УИК №1275	2647	2100	0	1555	35	510	35	1555	34	1556	63	63	44	0	1	0	0	0	114	342	81	316	703
УИК №1276	2889	2250	0	1697	15	538	15	1693	29	1679	70	70	40	0	5	0	0	0	126	321	80	318	834
УИК №1277	2756	2150	0	1555	31	564	31	1554	30	1555	63	60	47	3	2	0	0	0	92	315	93	318	737
УИК №1278	2950	2300	0	1729	34	537	34	1729	30	1733	55	55	63	0	1	0	0	0	98	318	70	400	847
УИК №1279	2942	2300	0	1737	31	532	31	1733	38	1726	71	67	71	4	0	0	0	0	115	378	67	349	817
УИК №1280	2434	1950	0	1337	52	561	52	1337	28	1361	59	59	30	0	5	0	0	0	78	251	86	277	669
УИК №1281	2656	2100	0	1545	25	530	25	1545	38	1532	60	57	31	3	2	0	0	0	113	318	69	254	778
УИК №1282	2706	2150	0	1613	33	504	33	1605	23	1615	70	69	42	1	3	0	0	0	101	313	79	336	786
УИК №128	2622	2200	0	1442	59	699	59	1429	32	1456	55	55	41	0	1	0	0	0	78	333	67	286	692
УИК №1283	2940	2300	0	1711	48	541	48	1710	21	1737	70	70	59	0	2	0	0	0	116	321	75	414	811
УИК №1284	2317	1900	0	1313	26	561	26	1309	21	1314	70	68	13	2	0	0	0	0	103	258	63	299	591
УИК №1285	2773	2150	0	1599	13	538	13	1589	28	1574	53	51	44	2	0	0	0	0	101	310	67	434	662
УИК №1286	2139	1750	0	1285	25	440	25	1279	27	1277	45	45	25	0	0	0	0	0	87	287	66	271	566
УИК №1287	2758	2150	0	1744	30	376	30	1738	19	1749	70	70	36	0	1	0	0	0	104	387	88	348	822
УИК №1288	2790	2150	0	1584	25	541	25	1581	61	1545	38	38	53	0	1	0	0	0	98	277	78	396	696
УИК №1289	2734	2150	0	1522	55	573	55	1512	23	1544	52	52	23	0	0	0	0	0	109	288	74	302	771
УИК №1290	2842	2300	0	1452	75	773	75	1452	35	1492	60	47	48	13	1	0	0	0	171	262	76	177	806
УИК №1291	2617	2300	0	1510	74	716	74	1510	27	1557	60	42	0	18	1	0	0	0	136	312	68	208	833
УИК №1292	1890	1500	0	1087	52	361	52	1087	21	1118	60	30	74	30	2	0	0	0	83	259	64	138	574
УИК №129	2724	2300	0	1400	49	851	49	1370	38	1381	55	55	48	0	1	0	0	0	95	298	80	265	643
УИК №1293	1895	1500	0	1007	59	434	59	1004	16	1047	60	37	52	23	0	0	0	0	99	189	45	131	583
УИК №1294	2429	1800	0	1325	48	427	48	1325	25	1348	60	26	70	34	0	0	0	0	127	209	86	167	759
УИК №1295	3016	2400	0	1544	70	786	70	1539	36	1573	60	51	74	9	0	0	0	0	130	290	68	178	907
УИК №1296	2968	2400	0	1500	90	810	90	1493	49	1534	60	49	44	11	0	0	0	0	144	245	68	228	849
УИК №1297	2238	1600	0	1157	74	369	74	1155	26	1203	70	67	36	3	3	0	0	0	46	207	64	237	649
УИК №1298	2782	1950	0	1579	57	314	57	1572	28	1601	70	65	33	5	0	0	0	0	106	316	97	307	775
УИК №1299	1788	1250	0	924	34	292	34	923	18	939	45	40	77	5	0	0	0	0	86	187	57	150	459
УИК №1300	2148	1500	0	1075	61	364	61	1069	24	1106	45	38	42	7	4	0	0	0	70	231	61	191	553
УИК №1301	2711	1950	0	1366	72	512	72	1365	17	1420	70	70	41	0	2	0	0	0	86	305	78	280	671
УИК №130	2114	1700	0	1151	44	505	44	1148	17	1175	50	50	128	0	1	0	0	0	81	203	75	230	586
УИК №1302	1525	1100	0	858	53	189	53	857	16	894	60	49	41	11	1	0	0	0	57	158	50	184	445
УИК №1303	2094	1500	0	1138	35	327	35	1138	26	1147	60	55	41	5	1	0	0	0	65	205	46	226	605
УИК №1304	1918	1400	0	998	50	352	50	997	19	1028	55	46	22	9	1	0	0	0	74	216	54	155	529
УИК №1305	2182	1500	0	1125	73	302	73	1125	17	1181	60	54	79	6	0	0	0	0	82	208	54	284	553
УИК №1306	1598	1100	0	884	49	167	49	883	13	919	40	24	30	16	1	0	0	0	70	171	65	120	493
УИК №1307	1858	1300	0	952	66	282	66	950	11	1005	45	38	25	7	3	0	0	0	57	169	47	192	540
УИК №1308	2421	1700	0	1286	62	352	62	1284	28	1318	60	57	59	3	0	0	0	0	83	258	83	251	643
УИК №1309	2107	1500	0	1128	67	305	67	1127	27	1167	60	56	46	4	1	0	0	0	76	225	73	238	555
УИК №1310	2420	1750	0	1253	75	422	75	1247	34	1288	65	64	35	1	2	0	0	0	88	251	65	260	624
УИК №1311	2126	1500	0	1113	77	310	77	1100	28	1149	57	55	40	2	0	0	0	0	65	267	52	217	548
УИК №1312	2262	1650	0	1156	84	410	84	1154	22	1216	80	76	31	4	0	0	0	0	83	233	63	201	636
УИК №131	2615	2200	0	1427	46	727	46	1427	24	1449	70	67	45	3	9	0	0	0	75	303	67	352	652
УИК №1313	2937	2100	0	1467	84	549	84	1466	16	1534	92	92	33	0	3	0	0	0	103	304	98	293	736
УИК №1314	2853	2100	0	1488	51	561	51	1484	30	1505	92	92	33	0	5	0	0	0	109	335	92	233	736
УИК №1315	2496	1800	0	1336	33	431	33	1334	33	1334	70	69	28	1	3	0	0	0	96	250	68	247	673
УИК №1316	2416	1750	0	1211	69	470	69	1211	28	1252	60	59	14	1	3	0	0	0	96	255	60	208	633
УИК №1317	2500	1750	0	1232	47	471	47	1231	21	1257	75	75	26	0	2	0	0	0	82	271	84	211	609
УИК №1318	2685	1950	0	1330	81	539	81	1330	26	1385	81	81	39	0	1	0	0	0	98	285	80	220	702
УИК №13	1900	1500	0	1075	27	398	27	1074	32	1069	50	48	57	2	4	0	0	0	64	199	63	368	375
УИК №1319	2403	1700	0	1301	46	353	46	1301	34	1313	60	56	72	4	1	0	0	0	103	236	78	257	639
УИК №1320	1842	1300	0	1018	40	242	40	1016	22	1034	75	75	36	0	1	0	0	0	74	179	50	194	537
УИК №1321	2310	1650	0	1203	68	379	68	1201	17	1252	70	68	47	2	0	0	0	0	86	251	52	207	656
УИК №1322	1690	1200	0	975	31	194	31	975	20	986	50	46	49	4	2	0	0	0	70	202	43	222	449
УИК №132	2500	2000	0	1301	49	650	49	1298	35	1312	70	64	68	6	1	0	0	0	81	276	86	241	628
УИК №1323	2113	1500	0	1121	79	300	79	1119	27	1171	60	60	50	0	1	0	0	0	74	218	64	205	610
УИК №1324	2152	1450	0	1125	78	247	78	1118	27	1169	50	44	126	6	1	0	0	0	75	222	58	209	605
УИК №1325	1702	1200	0	921	58	221	58	921	20	959	55	51	57	4	0	0	0	0	56	185	48	149	521
УИК №1326	2181	1500	0	1153	52	295	52	1153	28	1177	70	64	56	6	1	0	0	0	87	246	59	195	590
УИК №1327	2769	2000	0	1529	58	413	58	1512	25	1545	80	78	42	2	2	0	0	0	85	324	56	312	768
УИК №1328	2589	1850	0	1337	47	466	47	1335	14	1368	75	70	32	5	0	0	0	0	93	274	79	260	662
УИК №1329	2636	1900	0	1408	60	432	60	1408	26	1442	72	70	31	2	1	0	0	0	112	281	96	244	709
УИК №1330	2601	1850	0	1443	49	358	49	1439	35	1453	60	55	62	5	0	0	0	0	95	261	92	327	678
УИК №1331	2631	1850	0	1521	37	292	37	1521	38	1520	60	60	67	0	1	0	0	0	88	316	74	334	708
УИК №1332	2499	1750	0	1284	37	429	37	1281	25	1293	65	63	60	2	1	0	0	0	90	251	66	187	699
УИК №133	2509	2100	0	1312	39	749	39	1310	21	1328	70	70	89	0	2	0	0	0	57	283	81	280	627
УИК №1333	1362	950	0	702	33	215	33	701	7	727	35	28	45	7	3	0	0	0	60	142	48	152	325
УИК №1334	1937	1500	0	866	60	574	35	857	16	876	50	46	83	4	0	0	0	0	69	145	32	181	449
УИК №1335	1946	1700	0	996	29	675	29	996	15	1010	40	40	60	0	1	0	0	0	62	207	39	232	470
УИК №1336	1674	1500	0	852	46	602	46	852	13	885	33	33	53	0	0	0	0	0	77	179	39	194	396
УИК №1337	1812	1350	0	992	54	304	54	990	15	1029	40	35	115	5	1	0	0	0	66	184	64	199	516
УИК №1338	1488	1300	0	817	58	425	58	816	9	865	30	27	23	3	3	0	0	0	65	187	45	149	419
УИК №1339	1613	1300	0	792	51	457	51	789	16	824	25	20	34	5	0	0	0	0	62	128	42	156	436
УИК №1340	2989	2500	0	1607	51	842	51	1580	31	1600	43	42	74	1	1	0	0	0	89	294	75	441	701
УИК №1341	2862	2500	0	1683	53	764	53	1681	24	1710	63	63	85	0	2	0	0	0	100	394	68	390	758
УИК №1342	2664	2500	0	1568	49	883	49	1519	23	1545	60	54	47	6	0	0	0	0	126	283	74	322	740
УИК №134	2432	2000	0	1419	28	553	28	1414	34	1408	70	61	67	9	1	0	0	0	83	307	83	316	619
УИК №1343	2918	2500	0	1670	64	766	64	1667	32	1699	70	70	84	0	0	0	0	0	115	360	79	344	801
УИК №1344	2618	2300	0	1593	74	633	74	1591	27	1638	58	58	64	0	0	0	0	0	99	325	66	305	843
УИК №1345	1775	1500	0	1191	30	279	30	1189	25	1194	56	56	56	0	0	0	0	0	86	223	39	247	599
УИК №1346	3091	2500	0	2320	52	128	52	2314	28	2338	135	135	48	0	2	0	0	0	209	294	87	374	1374
УИК №1347	3163	2600	0	1804	78	718	78	1800	44	1834	90	87	44	3	1	0	0	0	134	310	64	498	828
УИК №1348	1892	1700	0	1009	66	625	66	1003	21	1048	35	30	32	5	2	0	0	0	55	236	55	248	454
УИК №1349	1763	1600	0	978	68	554	68	977	15	1030	48	48	32	0	1	0	0	0	57	211	78	209	475
УИК №1350	1294	1100	0	802	13	285	13	801	21	793	38	38	22	0	1	0	0	0	37	164	44	179	369
УИК №1351	2140	1750	0	1063	34	653	34	1062	24	1072	40	39	22	1	0	0	0	0	71	218	65	255	463
УИК №1352	2508	2200	0	1475	58	667	58	1474	30	1502	52	50	48	2	0	0	0	0	100	321	73	299	709
УИК №135	3036	2500	0	1739	42	719	42	1729	30	1741	50	50	42	0	1	0	0	0	63	422	115	402	739
УИК №1353	2450	2200	0	1302	99	799	99	1300	19	1380	60	59	21	1	0	0	0	0	81	294	88	232	685
УИК №1354	2440	2200	0	1208	112	880	112	1206	43	1275	34	34	21	0	1	0	0	0	86	244	76	212	657
УИК №1355	2536	2300	0	1358	84	858	84	1353	30	1407	62	62	38	0	0	0	0	0	99	279	79	298	652
УИК №1356	2156	2250	0	1259	66	925	66	1256	21	1301	234	234	44	0	233	0	0	0	98	275	47	218	663
УИК №1357	2478	2250	0	1347	99	804	99	1342	40	1401	48	47	24	1	2	0	0	0	76	289	87	299	650
УИК №1358	2763	2000	0	1662	26	312	26	1635	43	1618	50	50	50	0	0	0	0	0	103	330	78	359	748
УИК №1359	1808	1400	0	1136	25	239	25	1133	26	1132	60	60	72	0	0	0	0	0	93	205	55	179	600
УИК №1360	1450	1100	0	729	30	341	30	729	18	741	30	30	20	0	0	0	0	0	48	152	39	119	383
УИК №1361	1608	1200	0	1004	13	183	13	998	21	990	50	50	46	0	1	0	0	0	67	236	52	161	474
УИК №1362	1812	1300	0	935	47	318	47	930	11	966	60	60	11	0	1	0	0	0	76	194	59	153	484
УИК №136	2737	2200	0	1643	23	534	23	1639	33	1629	70	65	201	5	1	0	0	0	88	293	64	404	780
УИК №1363	1913	1400	0	1015	23	362	23	1014	27	1010	30	30	14	0	0	0	0	0	74	222	53	175	486
УИК №1364	2138	1500	0	1207	29	264	29	1207	35	1201	40	40	15	0	2	0	0	0	94	237	63	215	592
УИК №1365	1179	1000	0	667	29	304	29	666	15	680	30	30	27	0	0	0	0	0	60	143	47	81	349
УИК №1366	1127	800	0	604	16	180	16	600	8	608	40	40	30	0	0	0	0	0	47	111	39	106	305
УИК №1367	1656	1200	0	915	29	256	29	914	30	913	40	40	18	0	1	0	0	0	72	157	44	129	511
УИК №1368	1586	1200	0	892	35	273	35	887	12	910	30	30	16	0	2	0	0	0	76	191	41	137	465
УИК №1369	1759	1300	0	949	24	327	24	943	13	954	40	40	12	0	1	0	0	0	67	183	38	161	505
УИК №1370	2264	1600	0	1208	33	359	33	1208	22	1219	51	51	24	0	0	0	0	0	97	251	62	178	631
УИК №1371	1293	1800	0	1247	46	507	46	1247	30	1263	49	49	8	0	0	0	0	0	78	273	63	199	650
УИК №137	1648	1300	0	842	36	422	36	842	11	867	40	38	29	2	1	0	0	0	62	159	36	172	438
УИК №1372	2698	1900	0	1492	53	355	53	1492	31	1514	60	60	41	0	1	0	0	0	88	320	83	250	773
УИК №1373	1918	1400	0	962	34	404	34	961	28	967	50	50	59	0	0	0	0	0	94	164	44	139	526
УИК №1374	2440	1800	0	1365	48	387	48	1365	35	1378	60	60	30	0	0	0	0	0	92	276	81	224	705
УИК №1375	2655	1900	0	1384	44	472	44	1381	44	1381	70	70	22	0	0	0	0	0	114	325	71	181	690
УИК №1376	2667	1900	0	1462	36	402	36	1462	40	1458	70	70	25	0	1	0	0	0	90	324	62	236	746
УИК №1377	2284	1600	0	1280	24	296	24	1280	30	1274	40	40	25	0	1	0	0	0	110	247	54	171	692
УИК №1378	2287	1700	0	1342	30	328	30	1338	32	1336	60	60	27	0	0	0	0	0	101	236	59	230	710
УИК №1379	2206	1600	0	1307	24	269	24	1307	18	1313	40	40	37	0	0	0	0	0	102	289	57	202	663
УИК №1380	2729	2000	0	1385	20	595	20	1385	40	1365	60	60	28	0	1	0	0	0	147	215	58	191	754
УИК №1381	2363	1700	0	1185	22	493	22	1185	20	1187	50	50	23	0	0	0	0	0	102	231	46	151	657
УИК №1382	2911	2000	0	1547	9	444	9	1546	44	1511	69	69	27	0	0	0	0	0	154	263	59	252	783
УИК №138	2806	2400	0	1645	26	729	26	1642	35	1633	75	73	58	2	3	0	0	0	101	292	76	345	819
УИК №1383	2704	1900	0	1478	14	408	14	1470	32	1452	80	80	24	0	0	0	0	0	121	307	56	263	705
УИК №1384	1945	1400	0	1106	14	280	14	1103	20	1097	38	38	45	0	0	0	0	0	84	180	54	263	516
УИК №1385	1510	1100	0	791	8	301	8	791	19	780	42	42	18	0	1	0	0	0	56	144	42	160	378
УИК №1386	1446	1000	0	758	20	222	20	756	16	760	30	30	41	0	1	0	0	0	51	117	39	143	410
УИК №1387	2124	1500	0	1200	21	279	21	1200	19	1202	70	70	31	0	0	0	0	0	92	235	55	218	602
УИК №1388	1683	1200	0	912	23	265	23	912	22	913	40	40	29	0	0	0	0	0	78	201	41	186	407
УИК №1389	2394	1800	0	1370	30	400	30	1370	26	1374	60	60	36	0	0	0	0	0	95	242	57	234	746
УИК №1390	2115	1500	0	1199	42	259	42	1197	23	1216	60	60	27	0	0	0	0	0	85	284	53	156	638
УИК №1391	2769	2000	0	1505	32	463	32	1505	24	1513	60	60	34	0	0	0	0	0	113	267	78	247	808
УИК №1392	1964	1500	0	1001	24	475	24	995	19	1000	60	60	13	0	0	0	0	0	88	175	56	162	519
УИК №139	3174	2500	0	1775	111	614	111	1768	36	1843	75	72	120	3	5	0	0	0	96	373	100	415	859
УИК №1393	2632	1900	0	1501	29	370	29	1501	22	1508	80	80	52	0	2	0	0	0	96	388	75	264	685
УИК №1394	2338	1500	0	1287	42	171	42	1284	39	1287	70	70	27	0	0	0	0	0	150	223	63	181	670
УИК №1395	2117	1500	0	1202	32	266	32	1202	18	1216	50	50	46	0	0	0	0	0	95	228	54	184	655
УИК №1396	1839	1300	0	998	27	275	27	998	24	1001	30	30	11	0	2	0	0	0	97	185	51	119	549
УИК №1397	1603	1200	0	905	18	277	18	902	12	908	40	40	23	0	0	0	0	0	78	144	52	133	501
УИК №1398	2938	2100	0	1576	26	498	26	1567	33	1560	65	65	43	0	2	0	0	0	132	276	88	235	829
УИК №1399	2426	1700	0	1333	7	360	7	1331	18	1320	70	70	24	0	1	0	0	0	98	275	65	307	575
УИК №1400	2357	1700	0	1310	50	340	50	1310	0	1360	70	70	35	0	1	0	0	0	138	271	15	220	716
УИК №1401	1860	1300	0	1008	6	286	6	1008	16	998	60	60	8	0	0	0	0	0	70	168	49	210	501
УИК №1402	1700	1200	0	1080	9	111	9	1080	19	1070	50	50	51	0	0	0	0	0	63	170	28	111	698
УИК №140	3021	2400	0	1778	79	543	79	1773	28	1824	80	73	80	7	1	0	0	0	64	421	85	488	766
УИК №1403	1655	1200	0	799	11	390	11	799	11	799	45	45	19	0	0	0	0	0	66	150	34	156	393
УИК №1404	2098	1500	0	1152	14	334	14	1152	18	1148	60	60	38	0	1	0	0	0	109	169	51	229	590
УИК №1405	2582	1800	0	1283	26	491	26	1283	20	1289	60	60	41	0	0	0	0	0	126	201	64	217	681
