УИК №643	2294	2300	0	474	1	1825	1	474	15	460	0	0	301	159
УИК №644	2526	2500	0	534	5	1961	5	534	7	532	0	0	358	174
УИК №645	1716	1500	0	401	3	1096	3	401	7	397	0	0	271	126
УИК №646	2071	1700	0	581	4	1115	4	581	10	575	0	0	383	192
УИК №647	2275	2300	0	581	3	1716	3	581	15	569	0	0	386	183
УИК №648	1056	1000	0	195	40	765	40	195	5	230	0	0	112	118
УИК №649	2620	2500	0	659	5	1836	5	659	14	650	0	0	430	220
УИК №650	2306	2000	0	500	3	1497	3	500	6	497	0	0	343	154
УИК №651	1955	2000	0	454	1	1545	1	454	12	443	0	0	305	138
УИК №652	1647	1500	0	882	5	613	5	881	26	860	0	0	426	434
УИК №653	1529	1500	0	457	1	1042	1	457	8	450	0	0	303	147
УИК №654	1728	1700	0	408	5	1287	5	408	8	405	0	0	265	140
УИК №680	142	143	0	132	0	11	0	132	11	121	0	0	19	102
УИК №681	226	228	0	220	0	8	0	220	4	216	0	0	80	136
УИК №682	246	249	0	243	0	6	0	243	14	229	0	0	54	175
УИК №5502	121	123	0	121	0	2	0	121	0	121	0	0	18	103
УИК №5503	116	118	0	116	0	2	0	116	0	116	0	0	31	85
УИК №5504	120	122	0	120	0	2	0	120	2	118	0	0	21	97
УИК №5511	37	39	0	37	0	2	0	37	0	37	0	0	9	28
УИК №5512	42	44	0	42	0	2	0	42	0	42	0	0	3	39
УИК №5513	165	167	0	160	0	7	0	160	4	156	0	0	35	121
УИК №5514	464	466	0	464	0	2	0	464	21	443	0	0	38	405
														
УИК №701	1921	1400	0	621	6	773	6	621	8	619	0	0	403	216
УИК №702	2079	2000	0	504	7	1489	7	504	10	501	0	0	318	183
УИК №703	1949	1400	0	587	2	811	2	585	16	571	0	0	352	219
УИК №704	1600	1500	0	419	5	1076	5	419	5	419	0	0	268	151
УИК №705	2164	2100	0	532	3	1565	3	532	10	525	0	0	348	177
УИК №706	2420	2300	0	754	4	1542	4	754	23	735	0	0	441	294
УИК №707	2186	2100	0	619	3	1478	3	616	5	614	0	0	418	196
УИК №708	2360	2100	0	613	1	1486	1	613	12	602	0	0	404	198
УИК №709	1992	1400	0	569	0	831	0	569	10	559	0	0	331	228
УИК №710	2124	2100	0	503	8	1589	8	503	10	501	0	0	322	179
УИК №711	2232	2200	0	649	7	1544	7	649	12	644	0	0	395	249
УИК №712	2418	1800	0	662	8	1130	8	662	10	660	0	0	403	257
УИК №713	1735	1200	0	549	15	636	15	548	12	551	0	0	342	209
УИК №714	1654	1200	0	458	4	738	4	457	9	452	0	0	266	186
УИК №715	1631	1200	0	496	4	700	4	496	8	492	0	0	308	184
УИК №716	1804	1700	0	584	4	1112	4	584	6	582	0	0	359	223
УИК №717	2105	1900	0	516	5	1379	5	516	12	509	0	0	286	223
УИК №718	1215	1100	0	406	1	693	1	406	9	398	0	0	219	179
УИК №719	1876	1700	0	487	4	1209	4	487	16	475	0	0	273	202
УИК №720	1824	1300	0	602	0	698	0	602	12	590	0	0	396	194
УИК №721	1600	1500	0	420	5	1075	5	419	5	419	0	0	254	165
УИК №722	1445	1300	0	447	10	843	10	447	8	449	0	0	273	176
УИК №723	2642	1900	0	746	8	1146	8	746	13	741	0	0	427	314
УИК №724	2765	2000	0	900	6	1094	6	898	13	891	0	0	590	301
УИК №725	2286	2100	0	679	5	1416	5	679	8	676	0	0	378	298
УИК №726	2454	2200	0	693	7	1500	7	693	11	689	0	0	426	263
УИК №727	2220	2000	0	747	6	1247	6	747	7	746	0	0	415	331
УИК №728	1392	1000	0	335	0	665	0	335	5	330	0	0	209	121
УИК №729	2289	2100	0	672	11	1417	11	671	3	679	0	0	426	253
УИК №730	2001	1800	0	585	4	1211	4	585	12	577	0	0	361	216
УИК №731	1980	1800	0	620	2	1178	2	620	6	616	0	0	355	261
УИК №732	1701	1200	0	456	6	738	6	456	9	453	0	0	267	186
УИК №733	1922	1400	0	584	3	813	3	584	7	580	0	0	365	215
УИК №734	1519	1100	0	369	8	723	8	369	3	374	0	0	246	128
УИК №735	2539	1800	0	711	5	1084	5	711	15	701	0	0	448	253
УИК №736	1964	1800	0	449	5	1346	5	449	3	451	0	0	296	155
УИК №737	1936	1800	0	536	0	1264	0	536	13	523	0	0	342	181
УИК №738	1824	1300	0	440	5	855	5	440	4	441	0	0	283	158
УИК №739	1698	1200	0	465	16	719	16	465	9	472	0	0	254	218
УИК №740	1947	1800	0	500	7	1293	7	500	9	498	0	0	313	185
УИК №741	2924	2100	0	683	0	1417	0	683	16	667	0	0	405	262
УИК №742	2448	2200	0	446	1	1753	1	446	7	440	0	0	279	161
УИК №743	2155	2000	0	521	4	1475	4	521	12	513	0	0	308	205
УИК №744	1922	1800	0	530	0	1270	0	530	5	525	0	0	324	201
УИК №745	1905	1700	0	900	5	795	5	900	40	865	0	0	452	413
УИК №746	2212	1900	0	597	1	1302	1	597	20	578	0	0	349	229
УИК №747	2810	2100	0	750	0	1350	0	749	15	734	0	0	468	266
УИК №748	2822	2100	0	722	0	1378	0	722	12	710	0	0	464	246
УИК №749	2752	2100	0	827	0	1273	0	827	25	802	0	0	518	284
УИК №750	2768	2000	0	809	0	1191	0	809	16	793	0	0	515	278
														
УИК №801	611	600	0	146	1	453	1	146	3	144	0	0	98	46
УИК №803	1811	1700	0	560	1	1139	1	560	9	552	0	0	342	210
УИК №804	2507	2000	0	535	2	1463	2	535	11	526	0	0	59	467
УИК №805	1912	1800	0	479	5	1316	5	479	12	472	0	0	314	158
УИК №806	1917	1800	0	531	5	1264	5	529	5	529	0	0	374	155
УИК №807	2078	2000	0	566	8	1426	8	566	12	562	0	0	383	179
УИК №809	1484	1400	0	431	3	966	3	431	7	427	0	0	255	172
УИК №811	667	600	0	146	28	426	28	146	5	169	0	0	118	51
УИК №814	1939	1900	0	420	3	1477	3	420	16	407	0	0	261	146
УИК №815	1077	1000	0	282	3	715	3	282	2	283	0	0	173	110
УИК №817	971	800	0	231	8	561	8	231	6	233	0	0	158	75
УИК №818	574	550	0	174	3	373	3	174	3	174	0	0	130	44
УИК №819	576	500	0	143	2	355	2	143	1	144	0	0	95	49
УИК №820	2480	2000	0	655	1	1344	1	655	11	645	0	0	426	219
УИК №821	620	570	0	348	191	31	191	348	22	517	0	0	117	400
УИК №822	1857	1800	0	447	0	1353	0	447	5	442	0	0	306	136
УИК №823	1640	1600	0	330	11	1259	11	330	7	334	0	0	200	134
УИК №824	1287	1100	0	330	0	770	0	330	3	327	0	0	190	137
УИК №825	2730	2500	0	632	10	1858	10	632	5	637	0	0	418	219
УИК №826	2327	2200	0	579	12	1609	12	579	10	581	0	0	352	229
УИК №827	2106	1700	0	599	0	1101	0	599	10	589	0	0	357	232
УИК №828	1931	1500	0	422	2	1076	2	422	3	421	0	0	278	143
УИК №829	856	800	0	222	11	567	11	222	2	231	0	0	119	112
УИК №830	2147	1900	0	566	3	1331	3	565	13	555	0	0	347	208
УИК №832	1863	1800	0	513	30	1257	30	513	5	538	0	0	304	234
УИК №835	1948	1600	0	639	2	959	2	639	6	635	0	0	407	228
УИК №836	979	900	0	291	1	608	1	291	4	288	0	0	183	105
УИК №840	2227	2100	0	667	11	1422	11	667	17	661	0	0	366	295
УИК №841	2001	1600	0	478	5	1117	5	478	8	475	0	0	281	194
УИК №842	2161	2100	0	534	0	1566	0	534	17	517	0	0	297	220
УИК №843	2421	2300	0	650	5	1645	5	650	20	635	0	0	355	280
